x,y,z,Fault,Horizon,Segment,TriangleId,PointId,AttributeDisplacement,AttributeHeave,AttributeThrow,AttributeDisplacementDifference,AttributeGradients,AttributeRawDisplacement,AttributeRawHeave,AttributeRawThrow,AttributeFaultZone,AttributeJuxtaposition,AttributeFaultSealResults,AttributeAttribute,AttributeCustom
465969.868,5931236.94,2062.355,F1,TopC,0,0,44,428.67453566985677,227.12330325333198,363.5613602283146,0.0,0.0,417.0036369231145,220.986238620884,353.6340084870692,0.0,-202.5129822623412,0.0,0.0,0.0
465914.17,5931320.384,2059.281,F1,TopC,0,0,45,428.67453566985677,227.12330325333198,363.5613602283146,0.0,0.0,417.0036369231145,220.986238620884,353.6340084870692,0.0,-202.5129822623412,0.0,0.0,0.0
465776.624,5931129.331,1708.753,F1,TopC,0,0,11,428.67453566985677,227.12330325333198,363.5613602283146,0.0,0.0,417.0036369231145,220.986238620884,353.6340084870692,0.0,-202.5129822623412,0.0,0.0,0.0
465412.401,5932071.102,1695.057,F1,TopC,0,1,1,489.9671041990376,280.70275391427407,401.5890027654307,0.0,0.0,496.2305099256292,285.51420730879096,405.85973670163384,0.0,-267.9090634889294,0.0,0.0,0.0
465653.093,5932205.133,2090.246,F1,TopC,0,1,54,489.9671041990376,280.70275391427407,401.5890027654307,0.0,0.0,496.2305099256292,285.51420730879096,405.85973670163384,0.0,-267.9090634889294,0.0,0.0,0.0
465354.115,5932267.563,1670.386,F1,TopC,0,1,0,489.9671041990376,280.70275391427407,401.5890027654307,0.0,0.0,496.2305099256292,285.51420730879096,405.85973670163384,0.0,-267.9090634889294,0.0,0.0,0.0
465833.272,5931504.253,2058.811,F1,TopC,0,2,47,431.71964629477054,229.0002490865246,365.97915092965536,0.0,0.0,425.41366196844075,225.49038826352265,360.73549629638165,0.0,-206.2306139891955,0.0,0.0,0.0
465600.636,5931489.167,1696.611,F1,TopC,0,2,7,431.71964629477054,229.0002490865246,365.97915092965536,0.0,0.0,425.41366196844075,225.49038826352265,360.73549629638165,0.0,-206.2306139891955,0.0,0.0,0.0
465636.224,5931394.526,1698.955,F1,TopC,0,2,8,431.71964629477054,229.0002490865246,365.97915092965536,0.0,0.0,425.41366196844075,225.49038826352265,360.73549629638165,0.0,-206.2306139891955,0.0,0.0,0.0
466615.792,5929994.199,1757.172,F1,TopC,0,3,25,411.24797912256787,207.18287263694165,355.24661521019567,0.0,0.0,402.19990464382084,200.89340933412376,348.434500847548,0.0,-196.2956890657606,0.0,0.0,0.0
